statistic,python,r,abs_diff
FF3 Alpha,1.0146756032762103,1.02273990333394,0.008064300057729623
FF5 Alpha,1.0302469785624884,1.03043272933521,0.00018575077272164897
XSF Alpha,1.0273702158368925,1.03079166046355,0.0034214446266576104
FF11 Alpha,1.0520168823570164,1.04744863219648,0.004568250160536413
FF3 SE,0.1018671884621639,0.103279220681706,0.0014120322195421003
FF5 SE,0.1053912502208212,0.106901914984223,0.001510664763401795
XSF SE,0.1048004894688721,0.106284325007926,0.0014838355390539015
FF11 SE,0.1118769872965371,0.113713150033076,0.0018361627365389016
FF3 T-Stat,9.960769690360966,9.90266867413635,0.058101016224615165
FF5 T-Stat,9.77545077417586,9.6390483695946,0.1364024045812613
XSF T-Stat,9.803105129027491,9.69843540321381,0.10466972581368061
FF11 T-Stat,9.403335822483117,9.21132368500742,0.19201213747569668
FF3 P-val,3.967602373863323e-20,6.08493123674261e-20,2.1173288628792876e-20
FF5 P-val,1.612781902234062e-19,4.347589004682861e-19,2.7348071024487983e-19
XSF P-val,1.2900975762328045e-19,2.76761331518445e-19,1.4775157389516456e-19
FF11 P-val,2.6638751598467092e-18,1.03857573933793e-17,7.72188223353259e-18
