rank,python,r,abs_diff
1,0.3152423445037522,0.315242344499096,4.656219854126675e-12
2,2.034432524172275,2.03443252416653,5.74518210783026e-12
3,0.3177589567549562,0.317758956759961,5.0048298838589744e-12
4,-1.2006878041455638,-1.20068780416835,2.2786217357406713e-11
5,-0.0212999476714157,-0.0212999476529178,1.849790112751215e-11
6,0.384708742629579,0.384708742622856,6.723011036768867e-12
7,-0.1339915176385278,-0.133991517629861,8.66678950828259e-12
8,-0.181851199436947,-0.181851199428377,8.570005816110893e-12
9,-0.1406422605979423,-0.140642260591498,6.444289546436721e-12
10,-0.3736698385701662,-0.373669838577443,7.276790281451895e-12
