statistic,python,r,abs_diff
FF3 Alpha,1.0227399033334454,1.02273990333394,4.944933351680447e-13
FF5 Alpha,1.0304327293347018,1.03043272933521,5.082601006733967e-13
XSF Alpha,1.0307916604630696,1.03079166046355,4.805045250577678e-13
FF11 Alpha,1.047448632195725,1.04744863219648,7.549516567451064e-13
FF3 SE,0.1032792206810971,0.103279220681706,6.089018178556671e-13
FF5 SE,0.1069019149835779,0.106901914984223,6.450950884584472e-13
XSF SE,0.1062843250072851,0.106284325007926,6.409039965404872e-13
FF11 SE,0.1137131500323868,0.113713150033076,6.891986981116816e-13
FF3 T-Stat,9.902668674189888,9.90266867413635,5.353761878268415e-11
FF5 T-Stat,9.63904836964796,9.6390483695946,5.3359983098744124e-11
XSF T-Stat,9.698435403267748,9.69843540321381,5.3937299071549205e-11
FF11 T-Stat,9.211323685056652,9.21132368500742,4.923172980397794e-11
FF3 P-val,6.084931234347814e-20,6.08493123674261e-20,2.3947963856420932e-29
FF5 P-val,4.347589003001846e-19,4.347589004682861e-19,1.681014248184372e-28
XSF P-val,2.767613314098554e-19,2.76761331518445e-19,1.085896117578883e-28
FF11 P-val,1.0385757389773941e-17,1.03857573933793e-17,3.6053593448203716e-27
