K,fold,baseline_SR,fuzzy_a5_SR,fuzzy_a5_delta,fuzzy_a10_SR,fuzzy_a10_delta,fuzzy_a20_SR,fuzzy_a20_delta,fuzzy_a50_SR,fuzzy_a50_delta,fuzzy_a100_SR,fuzzy_a100_delta,fuzzy_a50_dt0001_SR,fuzzy_a50_dt0001_delta
5,train,0.6223133949171442,0.2134507446753261,-0.4088626502418181,0.6918700601169318,0.06955666519978754,0.6682199700977227,0.0459065751805785,0.5115946387878331,-0.11071875612931115,0.5446192930455744,-0.07769410187156978,0.5107539790824785,-0.11155941583466567
6,train,0.6301387282071822,0.2220957961827607,-0.4080429320244215,0.6932222696191159,0.06308354141193373,0.6792525010812465,0.049113772874064265,0.6269317165759537,-0.0032070116312284958,0.6515792476721467,0.021440519464964503,0.6272786524762411,-0.0028600757309410474
7,train,0.6488272109246711,0.2293258636079937,-0.41950134731667743,0.7062053962772064,0.05737818535253525,0.6874322408325935,0.03860502990792236,0.7564831714015318,0.10765596047686066,0.7505790102762666,0.1017517993515955,0.7584365285701526,0.10960931764548154
8,train,0.6202434469895153,0.2561742331590356,-0.3640692138304797,0.709390411528564,0.08914696453904869,0.7466456895479257,0.12640224255841037,0.7667994660728943,0.146556019083379,0.7069888940710812,0.08674544708156595,0.6871680554493003,0.06692460845978498
9,train,0.6086240866007341,0.2971704322902521,-0.311453654310482,0.7169409898825888,0.10831690328185473,0.7034796636949834,0.0948555770942493,0.7726863853789661,0.16406229877823197,0.7244542020810686,0.1158301154803345,0.7721716760914015,0.1635475894906674
10,train,0.6106754775736281,0.268070580399615,-0.34260489717401305,0.7090969390148566,0.09842146144122854,0.7737213814599252,0.16304590388629714,0.7802880004364616,0.16961252286283357,0.7788793458850614,0.1682038683114333,0.776218840152986,0.16554336257935798
11,train,0.7230096141952858,0.2923611147544365,-0.43064849944084926,0.7094230733350598,-0.013586540860225926,0.7826679710514269,0.05965835685614118,0.7819662858132319,0.058956671617946155,0.7798513376534814,0.0568417234581956,0.7820646252367023,0.05905501104141653
12,train,0.7540557901693016,0.2796606792824793,-0.4743951108868223,0.7149421557538331,-0.039113634415468446,0.7844989612905356,0.03044317112123407,0.7775614583450005,0.02350566817569888,0.7710675973945793,0.01701180722527773,0.7703997739274282,0.016343983758126623
13,train,0.6606165255259744,0.2915799516526655,-0.3690365738733089,0.7291926254884316,0.06857609996245717,0.7966933491497067,0.1360768236237323,0.7968907160252676,0.13627419049929324,0.8005019715605737,0.1398854460345993,0.8052365349814735,0.14462000945549913
14,train,0.7578110817749987,0.2860177010180424,-0.47179338075695626,0.7370064250607935,-0.020804656714205172,0.804013117442801,0.046202035667802344,0.8012143907729694,0.043403308997970735,0.8014826551425267,0.04367157336752803,0.8010885437315292,0.04327746195653048
15,train,0.8004363206446558,0.2872198346597845,-0.5132164859848712,0.6981832534151364,-0.10225306722951932,0.7960361441260498,-0.004400176518605914,0.8015214123502615,0.0010850917056057785,0.8088821292182454,0.008445808573589675,0.8011817016929424,0.0007453810482866974
16,train,0.8058719100725039,0.2906853608767887,-0.5151865491957153,0.7165732907679856,-0.08929861930451832,0.7839407016444879,-0.02193120842801599,0.8016900031047998,-0.004181906967704152,0.8092847395412078,0.003412829468703915,0.8015747816124082,-0.004297128460095667
