portfolio_id,EN_weight,ann_mean(%),ann_std(%),ann_SR,decoded
3111.11111,2.301553024601837,23.26,27.26,0.853,d=4 | Investment=lo > LME=lo > LME=lo > LME=lo
1111.121,1.4903738624681988,8.84,19.24,0.459,d=2 | LME=hi > LME=lo
3313.12212,-1.2409328323106088,0.38,26.09,0.015,d=4 | Investment=hi > Investment=hi > LME=lo > Investment=hi
1221.1111,-1.1592663738403628,5.21,25.93,0.201,d=3 | LME=lo > OP=lo > OP=lo
2122.11111,-0.7844237034819272,4.69,29.42,0.159,d=4 | OP=lo > LME=lo > OP=lo > OP=lo
3211.112,0.2648307219348615,7.66,13.87,0.552,d=2 | Investment=lo > OP=hi
2211.122,0.1544910810395415,7.29,15.32,0.475,d=2 | OP=hi > OP=hi
2221.11111,-0.1489481882105283,5.74,29.25,0.196,d=4 | OP=lo > OP=lo > OP=lo > LME=lo
3211.1121,0.0614599310085243,12.56,19.7,0.638,d=3 | Investment=lo > OP=hi > LME=lo
1311.1211,0.0608624767904636,10.56,18.33,0.576,d=3 | LME=hi > Investment=lo > LME=lo
